City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Elkhart,US,84.18,clear sky,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
379,Wau,SS,75.02,overcast clouds,7.7029,27.9953,Universal Gab Hotel
380,Areia Branca,BR,84.4,clear sky,-4.9561,-37.1369,Areia Branca Apart Hotel
381,Sungairaya,ID,79.9,overcast clouds,0.7,108.9,Mess P.Milu
385,Maragogi,BR,78.08,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
387,Kirakira,SB,78.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
394,Port-Gentil,GA,77.95,overcast clouds,-0.7193,8.7815,Fengshui Residence
400,Odweyne,SO,77.79,overcast clouds,9.4092,45.064,Eng Hiirey House
402,La Primavera,CO,88.43,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
406,Laguna,US,79.88,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
407,North Vernon,US,85.69,broken clouds,39.0062,-85.6236,Quality Inn North Vernon Near Hwy 50
412,Cumana,VE,83.39,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
413,Trairi,BR,81.25,clear sky,-3.2778,-39.2689,janelas do mar
414,Meulaboh,ID,76.44,overcast clouds,4.1363,96.1285,Kost Pria
416,Yangjiang,CN,79.95,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
421,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
431,Buala,SB,80.06,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
433,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
435,Fare,PF,79.05,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
442,Mansa,IN,78.84,clear sky,29.9833,75.3833,STARiHOTEL Mansa
443,Pali,IN,82.78,clear sky,25.7667,73.3333,HOTEL THE AMBA VILAS
444,Veracruz,MX,86.27,few clouds,19.3333,-96.6667,El Carrizal
451,Iracoubo,GF,82.17,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
452,Celestun,MX,85.06,overcast clouds,20.8667,-90.4,Posada Lilia
453,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
458,Jiazi,CN,77.97,broken clouds,22.8779,116.067,Hotel Jin Hao
459,Manoharpur,IN,76.15,clear sky,27.3,75.95,कैथल हरियाणा होटल
463,Kudahuvadhoo,MV,83.28,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
467,Lexington,US,83.52,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
468,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
476,Marang,MY,80.51,overcast clouds,5.2056,103.2059,DBarakah Homestay
484,Banda Aceh,ID,79.16,scattered clouds,5.5577,95.3222,Sulthan Hotel International
492,Saint Augustine,US,83.44,broken clouds,29.8947,-81.3145,St. George Inn
499,Namatanai,PG,79.11,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
502,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
504,Malindi,KE,77.32,clear sky,-3.2175,40.1191,African House Resort
507,Gewane,ET,80.2,light rain,10.1664,40.6453,Ayelu pension
508,Atarra,IN,76.96,clear sky,25.2833,80.5667,Akhand's _Hotel
511,Arlit,NE,88.59,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
512,Benghazi,LY,79.88,clear sky,32.1167,20.0667,Tibesti Hotel
518,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
519,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
522,Sinnamary,GF,82.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
524,Sarangani,PH,84.25,moderate rain,5.4033,125.4636,Ballistic Islet
526,Kimbe,PG,75.69,light rain,-5.5502,150.1429,Kimbe Bay Hotel
530,Cartagena Del Chaira,CO,86.18,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
533,Nisia Floresta,BR,83.21,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
535,Eufaula,US,86.43,scattered clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
538,Alyangula,AU,78.19,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
539,Paita,PE,75.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
541,Le Vauclin,MQ,79.84,light rain,14.5452,-60.8388,Hôtel Cap Macabou
544,Tezu,IN,75.54,clear sky,27.9167,96.1667,Circuit House
547,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
549,Kassala,SD,88.39,overcast clouds,15.451,36.4,Amassi Hotel Gash
550,Soyo,AO,76.21,overcast clouds,-6.1349,12.3689,Hotel Mpampa
551,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
553,Lakatoro,VU,78.71,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
554,Superior,US,75.47,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
557,Marhaura,IN,75.13,clear sky,25.9667,84.8667,Mishti Polutry Farm
558,Nyimba,ZM,86.56,clear sky,-14.5566,30.8149,Dali Dali Lodge
564,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
565,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
567,Ogbomosho,NG,80.78,light rain,8.133,4.25,Living Soul Garden Hotel
574,Milton,US,83.86,clear sky,34.1322,-84.3007,Children's Cottage Montessori
575,Letpadan,MM,77.36,overcast clouds,17.7833,95.75,Ko Arkar Lin
579,Point Pedro,LK,81.66,heavy intensity rain,9.8167,80.2333,Gtr homes
581,Mubi,NG,79.34,overcast clouds,10.2676,13.2644,Hotel
583,Morondava,MG,78.06,clear sky,-20.2833,44.2833,La Case Bambou
591,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
594,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
598,Binga,ZW,80.42,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
601,Barra Do Garcas,BR,82.98,light rain,-15.89,-52.2567,Hotel Pousada Tropical
604,Lethem,GY,86.59,overcast clouds,3.3803,-59.7968,Savannah Inn
606,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
