City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Stege,DK,54.987,12.2846,51.1,74,81,14.0,broken clouds
107,Severo-Kurilsk,RU,50.6789,156.125,50.81,94,100,18.14,moderate rain
108,Harindanga,IN,22.0383,88.3214,82.38,87,40,6.2,scattered clouds
109,Oistins,BB,13.0667,-59.5333,81.9,77,100,18.99,overcast clouds
110,Male,MV,4.1748,73.5089,82.58,77,79,17.6,broken clouds
111,Cherskiy,RU,68.75,161.3,10.99,91,71,5.14,broken clouds
112,Ponta Do Sol,PT,32.6667,-17.1,72.23,68,17,5.08,few clouds
113,Kirakira,SB,-10.4544,161.9205,81.59,78,93,3.85,overcast clouds
114,Bandarbeyla,SO,9.4942,50.8122,78.91,86,82,21.9,broken clouds
115,Ust-Uda,RU,54.1742,103.0304,35.38,76,75,1.52,broken clouds
116,Monte Azul,BR,-15.155,-42.8747,75.02,72,76,7.47,broken clouds
117,Luwuk,ID,-0.9516,122.7875,79.61,83,100,4.65,moderate rain
118,Leningradskiy,RU,69.3833,178.4167,23.49,91,100,4.83,overcast clouds
119,Balboa,CO,2.0396,-77.2168,63.45,96,89,1.41,moderate rain
120,Kuopio,FI,62.8924,27.677,48.15,100,90,9.22,overcast clouds
121,Vaini,TO,-21.2,-175.2,73.87,77,100,13.56,overcast clouds
122,Maniitsoq,GL,65.4167,-52.9,35.29,85,92,8.99,overcast clouds
123,Lar,IN,26.2039,83.9717,72.86,73,2,1.66,clear sky
124,Vostok,RU,46.4856,135.8833,38.52,82,100,14.34,overcast clouds
125,Aklavik,CA,68.2191,-135.0107,31.03,79,100,6.31,overcast clouds
126,Matamoros,MX,25.5333,-103.25,91.56,21,0,4.99,clear sky
127,Jizan,SA,17.3333,42.6667,86.45,71,25,4.41,scattered clouds
128,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,61,5.99,broken clouds
129,Butaritari,KI,3.0707,172.7902,81.75,65,31,8.68,scattered clouds
130,San Patricio,US,28.017,-97.5169,85.15,73,40,18.66,scattered clouds
131,Miles City,US,46.4083,-105.8406,67.51,34,3,7.11,clear sky
132,Barrow,US,71.2906,-156.7887,26.62,80,75,8.05,broken clouds
133,Sangar,RU,63.9242,127.4739,33.06,99,100,4.85,snow
134,Hobyo,SO,5.3505,48.5268,78.33,88,48,15.86,scattered clouds
135,Mocuba,MZ,-16.8392,36.9856,71.38,89,19,5.79,few clouds
136,Deputatskiy,RU,69.3,139.9,21.88,81,100,3.27,overcast clouds
137,Hofn,IS,64.2539,-15.2082,40.51,63,33,12.17,scattered clouds
138,Cabo San Lucas,MX,22.8909,-109.9124,91.62,72,78,1.01,broken clouds
139,Vanimo,PG,-2.6741,141.3028,82.04,82,99,3.96,light rain
140,Berbera,SO,10.4396,45.0143,86.99,69,31,6.24,scattered clouds
141,Hornepayne,CA,49.2138,-84.7705,63.12,94,100,10.71,moderate rain
142,Tarana,IN,23.3333,76.0333,74.71,75,45,2.57,scattered clouds
143,Dicabisagan,PH,17.0818,122.4157,76.69,91,100,12.17,very heavy rain
144,Tuktoyaktuk,CA,69.4541,-133.0374,30.0,76,98,5.66,overcast clouds
145,Norton,ZW,-17.8833,30.7,58.28,86,92,13.47,overcast clouds
146,Manggar,ID,-2.8833,108.2667,82.4,80,86,9.17,overcast clouds
147,Porbandar,IN,21.6422,69.6093,81.97,78,9,3.56,clear sky
148,Vanderhoof,CA,54.0166,-124.0198,45.86,49,90,10.38,overcast clouds
149,Westport,US,41.1415,-73.3579,65.19,91,100,10.0,overcast clouds
150,Carutapera,BR,-1.195,-46.02,79.83,79,38,8.3,scattered clouds
151,Amapa,BR,1.0,-52.0,74.28,94,92,5.82,overcast clouds
152,Mukhtolovo,RU,55.4644,43.1953,42.67,92,54,4.7,light rain
153,Plouzane,FR,48.3833,-4.6167,55.58,100,90,4.61,fog
154,Brainerd,US,46.358,-94.2008,52.09,87,90,6.91,mist
155,Georgetown,MY,5.4112,100.3354,78.89,89,20,0.0,few clouds
156,Portland,US,45.5234,-122.6762,58.51,66,99,4.0,overcast clouds
157,Sampit,ID,-2.5333,112.95,78.82,92,100,2.35,overcast clouds
158,Saskylakh,RU,71.9167,114.0833,23.13,96,100,8.63,overcast clouds
159,Mantua,IT,45.1667,10.7833,52.7,84,2,2.15,clear sky
160,Lufilufi,WS,-13.8745,-171.5986,85.78,77,96,10.51,overcast clouds
161,Celestun,MX,20.8667,-90.4,82.92,75,46,11.45,scattered clouds
162,Nouadhibou,MR,20.931,-17.0347,69.04,83,0,20.51,clear sky
163,Hamilton,US,39.1834,-84.5333,77.09,74,62,1.01,broken clouds
164,Necochea,AR,-38.5473,-58.7368,60.04,92,26,9.26,scattered clouds
165,Yellowknife,CA,62.456,-114.3525,36.41,100,100,1.01,light rain
166,Dukat,RU,62.55,155.55,18.27,74,6,4.61,clear sky
167,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,88,100,10.94,overcast clouds
168,Victoria,HK,22.2855,114.1577,82.33,82,87,1.01,overcast clouds
169,Bilibino,RU,68.0546,166.4372,5.85,95,92,1.59,overcast clouds
170,Iqaluit,CA,63.7506,-68.5145,32.7,86,41,1.99,scattered clouds
171,Belyy Yar,RU,53.6039,91.3903,42.69,65,40,8.95,scattered clouds
172,Touros,BR,-5.1989,-35.4608,78.64,77,25,14.05,scattered clouds
173,Iberia,US,29.9502,-91.7507,78.78,83,1,9.01,clear sky
174,Faanui,PF,-16.4833,-151.75,79.79,74,44,12.84,scattered clouds
175,Rio Grande,BR,-32.035,-52.0986,63.95,79,93,19.86,overcast clouds
176,Lorengau,PG,-2.0226,147.2712,85.19,66,72,3.6,broken clouds
177,Porto Novo,BJ,6.4965,2.6036,78.08,85,93,5.26,light rain
178,Carnarvon,AU,-24.8667,113.6333,68.09,62,0,19.46,clear sky
179,Sabalgarh,IN,26.25,77.4,75.63,56,14,4.54,few clouds
180,The Valley,AI,18.217,-63.0578,82.09,78,43,25.37,scattered clouds
181,Tasiilaq,GL,65.6145,-37.6368,32.16,53,5,3.04,clear sky
182,Roxana,CR,10.2753,-83.7513,82.47,96,57,2.82,broken clouds
183,Katsuura,JP,35.1333,140.3,80.19,68,48,14.76,scattered clouds
184,Makakilo City,US,21.3469,-158.0858,82.56,57,5,24.05,clear sky
185,Bukama,CD,-9.2,25.85,83.1,33,98,1.59,overcast clouds
186,Dwarka,IN,22.2394,68.9678,81.66,77,2,6.42,clear sky
187,Komsomolskiy,UZ,40.4272,71.7189,42.22,75,13,2.3,few clouds
188,Tuatapere,NZ,-46.1333,167.6833,47.82,95,100,4.21,moderate rain
189,Danville,US,36.586,-79.395,69.42,89,46,3.0,scattered clouds
190,Talnakh,RU,69.4865,88.3972,23.29,95,96,8.28,light snow
191,Bambous Virieux,MU,-20.3428,57.7575,72.21,100,75,9.22,light rain
192,Port Elizabeth,ZA,-33.918,25.5701,51.1,76,38,10.83,scattered clouds
193,Betioky,MG,-23.7167,44.3833,63.57,92,23,5.39,few clouds
194,San Quintin,MX,30.4833,-115.95,70.61,63,0,12.55,clear sky
